lexeme_id,lemma,review_recommendation,recommended_sense_ids,review_rationale
81,accident,accept,wikt-p0-81-1-3,"日常核心义：造成身体或物质损害的意外事件"
129,achat,accept,wikt-p0-129-1-1|wikt-p0-129-1-2,"保留购买行为与所购物品"
675,appartenir,accept,wikt-p0-675-1-1|wikt-p0-675-1-6,"保留属于某人及属于某集合"
895,assister,accept,wikt-p0-895-1-1|wikt-p0-895-1-3,"保留出席与帮助"
898,association,accept,wikt-p0-898-1-3,"保留共同目标组织"
1052,auteur,accept,wikt-p0-1052-1-1|wikt-p0-1052-1-2,"保留创作者与作品作者"
1228,balle,accept,wikt-p0-1228-1-1|wikt-p0-1228-1-4,"保留球与子弹"
1500,bois,accept,wikt-p0-1500-1-1|wikt-p0-1500-1-3,"保留木材与树林"
1641,bowling,accept,wikt-p0-1641-1-1|wikt-p0-1641-1-2,"保留运动与场馆"
1828,cacher,accept,wikt-p0-1828-1-1|wikt-p0-1828-1-4,"保留藏起与隐瞒"
2389,chômage,accept,wikt-p0-2389-1-2,"保留停止工作或失业状态"
2474,classe,accept,wikt-p0-2474-1-16|wikt-p0-2474-1-18|wikt-p0-2474-1-19,"保留学校年级班级与教室"
2497,climat,accept,wikt-p0-2497-1-1,"保留气候核心义"
2604,collectionneur,accept,wikt-p0-2604-1-1,"唯一且自足的核心义"
2860,conduire,accept,wikt-p0-2860-1-1|wikt-p0-2860-1-2,"保留带领与驾驶"
3039,continent,accept,wikt-p0-3039-1-1,"保留大陆核心义"
3643,dessiner,accept,wikt-p0-3643-1-1,"保留绘画核心义"
3699,dieu,accept,wikt-p0-3699-1-1,"保留宗教中的神"
3753,directeur,accept,wikt-p0-3753-1-1,"保留机构负责人"
4038,début,accept,wikt-p0-4038-1-1,"保留开始"
4107,décor,accept,wikt-p0-4107-1-1|wikt-p0-4107-1-2,"保留装饰与舞台影视布景"
4812,esclave,accept,wikt-p0-4812-1-1,"保留失去自由并受主人支配的人"
4819,espace,accept,wikt-p0-4819-1-1|wikt-p0-4819-1-2|wikt-p0-4819-1-3|wikt-p0-4819-1-5,"保留空间地点与外太空"
5051,fabriquer,accept,wikt-p0-5051-1-1|wikt-p0-5051-1-2,"保留工业制造与手工制作"
5233,fier,accept,wikt-p0-5233-1-2,"对应 se fier à 的信任核心义；人工需确认词条展示形式"
5365,fonction,accept,wikt-p0-5365-1-1|wikt-p0-5365-1-2|wikt-p0-5365-1-4,"保留作用职责与职务"
5389,football,accept,wikt-p0-5389-1-1,"保留足球核心义"
5702,garder,accept,wikt-p0-5702-1-1|wikt-p0-5702-1-2|wikt-p0-5702-1-4|wikt-p0-5702-1-7,"保留看守保护保有与保存"
5718,garçon,accept,wikt-p0-5718-1-1|wikt-p0-5718-1-2|wikt-p0-5718-1-6,"保留男孩年轻男子与服务员"
5952,groupe,accept,wikt-p0-5952-1-1|wikt-p0-5952-1-2|wikt-p0-5952-1-4,"保留人群乐队与物品集合"
6269,humeur,accept,wikt-p0-6269-1-2,"保留心情"
7199,jour,accept,wikt-p0-7199-1-1|wikt-p0-7199-1-4|wikt-p0-7199-1-5|wikt-p0-7199-1-8,"保留一天日期星期与白昼"
7231,jumeau,accept,wikt-p0-7231-1-1,"保留男性双胞胎"
7477,litre,accept,wikt-p0-7477-1-1,"保留容量单位"
7848,marche,accept,wikt-p0-7848-2-1|wikt-p0-7848-2-5|wikt-p0-7848-2-10|wikt-p0-7848-2-13,"保留行走步行运转与台阶"
7852,marché,accept,wikt-p0-7852-1-1|wikt-p0-7852-1-7|wikt-p0-7852-1-8,"保留集市交易与经济市场"
8216,moment,accept,wikt-p0-8216-1-1|wikt-p0-8216-1-2,"保留时刻与短暂时段"
8441,mètre,accept,wikt-p0-8441-1-1|wikt-p0-8441-1-2,"保留长度单位与测量工具"
8465,médias,reject,,"唯一候选只是 média 的复数跳转；不是自足定义"
8677,nombre,accept,wikt-p0-8677-1-1|wikt-p0-8677-1-3,"保留数与不定数量"
8723,note,accept,wikt-p0-8723-1-1|wikt-p0-8723-1-2|wikt-p0-8723-1-6|wikt-p0-8723-1-9|wikt-p0-8723-1-10,"保留笔记注释分数及音乐记号和声音"
8765,nuit,accept,wikt-p0-8765-1-1,"保留夜晚核心义"
9353,patron,accept,wikt-p0-9353-1-6|wikt-p0-9353-1-9|wikt-p0-9353-1-14,"保留老板雇主与模板"
9362,pauvre,accept,wikt-p0-9362-1-1|wikt-p0-9362-1-3,"保留贫困者"
10096,produit,accept,wikt-p0-10096-1-1|wikt-p0-10096-1-3|wikt-p0-10096-1-5|wikt-p0-10096-1-7,"保留产物商品与乘积"
10581,quitter,accept,wikt-p0-10581-1-1|wikt-p0-10581-1-2|wikt-p0-10581-1-3,"保留离开人与地点及放弃"
10873,regarder,accept,wikt-p0-10873-1-1|wikt-p0-10873-1-3,"保留看与仔细观察"
11202,rive,accept,wikt-p0-11202-1-1|wikt-p0-11202-1-2,"保留河湖岸与海岸"
11708,sapin,accept,wikt-p0-11708-1-1|wikt-p0-11708-1-3|wikt-p0-11708-1-7,"保留冷杉木材与圣诞树"
11739,sauter,accept,wikt-p0-11739-1-1|wikt-p0-11739-1-14,"保留跳跃与跳过障碍"
12072,sommeil,accept,wikt-p0-12072-1-1|wikt-p0-12072-1-2|wikt-p0-12072-1-8,"保留睡眠状态困意与睡眠时段"
12739,temps,accept,wikt-p0-12739-1-1|wikt-p0-12739-1-5|wikt-p0-12739-1-6|wikt-p0-12739-1-16,"保留时间可用时段与天气"
12878,toit,accept,wikt-p0-12878-1-1|wikt-p0-12878-1-2,"保留屋顶与住所"
12940,toucher,accept,wikt-p0-12940-1-1|wikt-p0-12940-1-5|wikt-p0-12940-1-6|wikt-p0-12940-1-10|wikt-p0-12940-1-13,"保留触碰接触达到收款与感动"
13067,travail,accept,wikt-p0-13067-1-1|wikt-p0-13067-1-2|wikt-p0-13067-1-4|wikt-p0-13067-1-7,"保留劳动工作成果与待办工作"
13074,traverser,accept,wikt-p0-13074-1-1|wikt-p0-13074-1-2|wikt-p0-13074-1-5,"保留穿过横穿马路与经过"
13558,ville,accept,wikt-p0-13558-1-1,"保留城市核心义"
13782,âne,accept,wikt-p0-13782-1-1,"保留驴这一动物义"
14099,équipe,accept,wikt-p0-14099-1-1|wikt-p0-14099-1-4|wikt-p0-14099-1-5,"保留工作团队与体育队"
