audit_id,sample_order,lexeme_id,lemma,pos,cefr_level,flelex_frequency,gloss_zh,automated_status,automated_reason,manual_decision,manual_note
lexicon-v1-2026-07-27,1,1209,baisemain,NOM,C1,0.0652,,needs_review,low_frequency_missing_gloss,override_excluded,Rare lexicalized expression with low network value for the main B1-C1 map.
lexicon-v1-2026-07-27,2,655,apeuré,ADJ,C1,0.0652,惊魂,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,3,5773,gifle,NOM,B2,0.6674,嘴巴；巴掌,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,4,7251,juste,NOM,B1,2.5084,公允；公平,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,5,6467,implacable,ADJ,B2,2.4938,,eligible,target_content_high_frequency_missing_gloss,agree,Valid target adjective; Chinese gloss is missing and should be supplied before editorial use.
lexicon-v1-2026-07-27,6,191,admirable,ADJ,A2,5.3458,石破天惊；精彩,auxiliary,foundational_content,agree,
lexicon-v1-2026-07-27,7,5665,gagnant,ADJ,C2,0.0342,成功者；胜者,needs_review,advanced_tail,override_eligible,Common lexical item despite the C2 assignment; useful around gagner/vainqueur.
lexicon-v1-2026-07-27,8,10476,pénalité,NOM,C1,0.1228,罚则；违约金,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,9,5192,ferroviaire,ADJ,B2,1.5448,,eligible,target_content_high_frequency_missing_gloss,agree,
lexicon-v1-2026-07-27,10,4059,décharge,NOM,B1,2.9521,,eligible,target_content_high_frequency_missing_gloss,agree,
lexicon-v1-2026-07-27,11,13126,tripler,VER,B2,2.5734,,eligible,target_content_high_frequency_missing_gloss,agree,
lexicon-v1-2026-07-27,12,7062,inégal,ADJ,B2,3.8088,不均；参差不齐,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,13,2029,cartel,NOM,C1,0.0514,企业集团,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,14,3158,corbeau,NOM,C2,0.0218,乌鸦,needs_review,advanced_tail,override_auxiliary,Common concrete noun; retain as a bridge but do not prioritize for B1-C1 relation coverage.
lexicon-v1-2026-07-27,15,11593,révérence,NOM,C1,0.0975,,needs_review,low_frequency_missing_gloss,override_eligible,Valid C1 lexical item with derivational and register relations.
lexicon-v1-2026-07-27,16,11458,régénérescence,NOM,C2,0.1431,,needs_review,advanced_tail,override_excluded,Very rare tail item; low expected learning or network value.
lexicon-v1-2026-07-27,17,5243,fil,NOM,B1,51.3477,线缆；话头,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,18,14016,énigmatique,ADJ,B1,2.3025,神奥；莫名,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,19,9725,plouc,NOM,C1,0.0614,粗人；老帽儿,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,20,12992,traduction,NOM,B2,4.6145,翻译；译文,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,21,2107,ceinturer,VER,C2,0.0433,,excluded,outside_target_cefr,agree,
lexicon-v1-2026-07-27,22,5189,fermé,ADJ,C1,0.0964,细密；闭着,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,23,5386,fontaine,NOM,A2,6.4175,喷泉,auxiliary,foundational_content,agree,
