id,lemma,normalized,pos,cefr_level,flelex_frequency,lexique_frequency,contextual_diversity,phonetic_ipa,morph_base,morph_structure,morph_decomposition,gloss_zh,decision_reason,eligibility_score,has_cfdict
14232,être,être,VER,A1,28371.4745,35040.212,99.87906,ɛtʁ,être,0-1-0,/être,是；处于,editorial_foundational_core:v1:wordcloud editorial:2026-07-30,1.01,1
1157,avoir,avoir,VER,A1,19212.1423,13032.016,99.73362,avwaʁ,avoir,0-1-0,/avoir,有；拥有,editorial_foundational_core:v1:wordcloud editorial:2026-07-30,1.01,1
5081,faire,faire,VER,A1,5619.6584,9061.728,99.11359,fɛʁ,faire,0-1-0,/faire,做；制作,editorial_foundational_core:v1:wordcloud editorial:2026-07-30,1.01,1
406,aller,aller,VER,A1,3931.7558,9795.946,98.69871,ale,aller,0-1-0,/all(er),去；前往,editorial_foundational_core:v1:wordcloud editorial:2026-07-30,1.01,1
3749,dire,dire,VER,A1,3665.3357,6099.386,97.61482,diʁ,dire,0-1-1,/dire,说；告诉,editorial_foundational_core:v1:wordcloud editorial:2026-07-30,1.01,1
9976,pouvoir,pouvoir,VER,A1,3423.8487,6267.658,97.35915,puvwaʁ,pouvoir,0-1-0,/pouv(oir).oir,能；可以,editorial_foundational_core:v1:wordcloud editorial:2026-07-30,1.01,1
13641,voir,voir,VER,A1,2293.6748,3679.82,95.95836,vwaʁ,voir,0-1-0,/voir,看见；理解,editorial_foundational_core:v1:wordcloud editorial:2026-07-30,1.01,1
13685,vouloir,vouloir,VER,A1,1940.959,5239.237,97.50765,vulwaʁ,vouloir,0-1-1,/voul(oir).oir,想要；愿意,editorial_foundational_core:v1:wordcloud editorial:2026-07-30,1.01,1
11753,savoir,savoir,VER,A1,1693.8059,4973.842,97.78781,savwaʁ,savoir,0-1-1,/sav(oir).oir,知道；会,editorial_foundational_core:v1:wordcloud editorial:2026-07-30,1.01,1
13435,venir,venir,VER,A1,1546.968,2424.339,84.8714,vəniʁ,venir,0-1-1,/ven(ir).ir,来；来到,editorial_foundational_core:v1:wordcloud editorial:2026-07-30,1.01,1
9997,prendre,prendre,VER,A1,1440.6035,1894.187,82.88579,pʁɑ̃dʁ,prendre,0-1-1,/pren(dre).dre,拿；乘坐,editorial_foundational_core:v1:wordcloud editorial:2026-07-30,1.01,1
3672,devoir,devoir,VER,A1,1433.0362,3830.592,92.18157,dəvwaʁ,devoir,0-1-0,/devoir,必须；欠,editorial_foundational_core:v1:wordcloud editorial:2026-07-30,1.01,1
9311,passer,passer,VER,A1,1363.3642,1522.114,83.20882,pase,pas,0-1-1,/pas[s].er,经过；度过,editorial_foundational_core:v1:wordcloud editorial:2026-07-30,1.01,1
13173,trouver,trouver,VER,A1,1239.4098,1476.832,74.109,tʁuve,trouver,0-1-1,/trouv(er).er,找到；觉得,editorial_foundational_core:v1:wordcloud editorial:2026-07-30,1.01,1
9249,parler,parler,VER,A1,1230.1596,2026.244,88.40325,paʁle,parler,0-1-1,/parl(er).er,说；交谈,editorial_foundational_core:v1:wordcloud editorial:2026-07-30,1.01,1
8039,mettre,mettre,VER,A1,1179.717,944.31,66.47887,mɛtʁ,mettre,0-1-1,/mett(re).re,放；穿上,editorial_foundational_core:v1:wordcloud editorial:2026-07-30,1.01,1
3902,donner,donner,VER,A1,1087.947,1133.864,67.93325,done,don,0-1-1,/don[n].er,给；给予,editorial_foundational_core:v1:wordcloud editorial:2026-07-30,1.01,1
351,aimer,aimer,VER,A1,1083.5683,1601.354,83.02511,eme,aimer,0-1-1,/aim(er).er,喜欢；爱,editorial_foundational_core:v1:wordcloud editorial:2026-07-30,1.01,1
3587,demander,demander,VER,A1,1037.2077,926.332,65.95224,dəmɑ̃de,mander,1-1-1,_dé/mand(er).er,请求；问,editorial_foundational_core:v1:wordcloud editorial:2026-07-30,1.01,1
11085,rester,rester,VER,A1,967.9337,924.022,79.8515,ʁɛste,rester,0-1-1,/rest(er).er,停留；保持,editorial_foundational_core:v1:wordcloud editorial:2026-07-30,1.01,1
2928,connaître,connaître,VER,A1,965.6648,846.06,69.41212,konɛtʁ,naître,1-1-1,_con/naîtr(re).e,认识；了解,editorial_foundational_core:v1:wordcloud editorial:2026-07-30,1.01,0
9287,partir,partir,VER,A1,895.1826,1035.642,74.00031,paʁtiʁ,part,0-1-1,/part.ir,离开；出发,editorial_foundational_core:v1:wordcloud editorial:2026-07-30,1.01,1
13623,vivre,vivre,VER,A1,667.583,441.066,48.50735,vivʁ,vivre,0-1-1,/viv(re).re,生活；经历,editorial_foundational_core:v1:wordcloud editorial:2026-07-30,1.01,1
3371,croire,croire,VER,A1,641.5095,1612.497,88.42927,kʁwaʁ,croire,0-1-1,/croi(re).re,相信；认为,editorial_foundational_core:v1:wordcloud editorial:2026-07-30,1.01,1
10707,rapport,rapport,NOM,B1,143.1362,148.778,32.55052,ʁapɔʁ,port,1-1-0,_r/apport,人情；关系,target_content_with_gloss,1.0,1
10871,regard,regard,NOM,B1,141.5148,46.718,14.26209,ʁəgaʁ,regard,0-1-0,/regard,目光；眼神,target_content_with_gloss,1.0,1
9363,pauvre,pauvre,ADJ,B1,139.2067,109.864,31.57073,povʁ,pauvre,0-1-0,/pauvre,可怜；困苦,target_content_with_gloss,1.0,1
2270,chef,chef,NOM,B1,131.2962,220.117,35.3368,ʃɛf,chef,0-1-0,/chef,主任；主厨,target_content_with_gloss,1.0,1
12104,sorte,sorte,NOM,B1,129.482,144.449,42.45867,sɔʁt,sort,0-1-1,/sort(ir).e,种类,target_content_with_gloss,1.0,1
8846,obtenir,obtenir,VER,B1,123.0933,140.854,19.89284,ɔptəniʁ,tenir,1-1-1,_ob/ten(ir).ir,取得；弄到,target_content_with_gloss,1.0,1
