lexeme_id,lemma,ai_recommendation,recommended_sense_ids,ai_rationale
81,accident,recommend_accept,wikt-p0-81-1-3,"日常核心义：造成身体或物质损害的意外事件"
129,achat,recommend_accept,wikt-p0-129-1-1|wikt-p0-129-1-2,"保留购买行为与所购物品"
675,appartenir,recommend_accept,wikt-p0-675-1-1|wikt-p0-675-1-6,"保留属于某人及属于某集合"
895,assister,recommend_accept,wikt-p0-895-1-1|wikt-p0-895-1-3,"保留出席与帮助"
898,association,recommend_accept,wikt-p0-898-1-3,"保留共同目标组织"
1052,auteur,recommend_accept,wikt-p0-1052-1-1|wikt-p0-1052-1-2,"保留创作者与作品作者"
1228,balle,recommend_accept,wikt-p0-1228-1-1|wikt-p0-1228-1-4,"保留球与子弹"
1500,bois,recommend_accept,wikt-p0-1500-1-1|wikt-p0-1500-1-3,"保留木材与树林"
1641,bowling,recommend_accept,wikt-p0-1641-1-1|wikt-p0-1641-1-2,"保留运动与场馆"
1828,cacher,recommend_accept,wikt-p0-1828-1-1|wikt-p0-1828-1-4,"保留藏起与隐瞒"
2389,chômage,recommend_accept,wikt-p0-2389-1-2,"保留停止工作或失业状态"
2474,classe,recommend_accept,wikt-p0-2474-1-16|wikt-p0-2474-1-18|wikt-p0-2474-1-19,"保留学校年级班级与教室"
2497,climat,recommend_accept,wikt-p0-2497-1-1,"保留气候核心义"
2604,collectionneur,recommend_accept,wikt-p0-2604-1-1,"唯一且自足的核心义"
2860,conduire,recommend_accept,wikt-p0-2860-1-1|wikt-p0-2860-1-2,"保留带领与驾驶"
3039,continent,recommend_accept,wikt-p0-3039-1-1,"保留大陆核心义"
3643,dessiner,recommend_accept,wikt-p0-3643-1-1,"保留绘画核心义"
3699,dieu,recommend_accept,wikt-p0-3699-1-1,"保留宗教中的神"
3753,directeur,recommend_accept,wikt-p0-3753-1-1,"保留机构负责人"
4038,début,recommend_accept,wikt-p0-4038-1-1,"保留开始"
4107,décor,recommend_accept,wikt-p0-4107-1-1|wikt-p0-4107-1-2,"保留装饰与舞台影视布景"
4812,esclave,recommend_accept,wikt-p0-4812-1-1,"保留失去自由并受主人支配的人"
