lexeme_id,lemma,pos,cefr_level,candidate_senses,review_status,approved_sense_ids,reviewer,reviewed_at,notes
81,accident,NOM,A1,10,accepted,wikt-p0-81-1-3,Jinyan Shao,2026-08-02,日常核心义：造成身体或物质损害的意外事件
129,achat,NOM,A2,2,accepted,wikt-p0-129-1-1|wikt-p0-129-1-2,Jinyan Shao,2026-08-02,保留购买行为与所购物品
675,appartenir,VER,A2,8,accepted,wikt-p0-675-1-1|wikt-p0-675-1-6,Jinyan Shao,2026-08-02,保留属于某人及属于某集合
895,assister,VER,A1,4,accepted,wikt-p0-895-1-1|wikt-p0-895-1-3,Jinyan Shao,2026-08-02,保留出席与帮助
898,association,NOM,A1,7,accepted,wikt-p0-898-1-3,Jinyan Shao,2026-08-02,保留共同目标组织
1052,auteur,NOM,A2,9,accepted,wikt-p0-1052-1-1|wikt-p0-1052-1-2,Jinyan Shao,2026-08-02,保留创作者与作品作者
1228,balle,NOM,A2,12,accepted,wikt-p0-1228-1-1|wikt-p0-1228-1-4,Jinyan Shao,2026-08-02,保留球与子弹
1500,bois,NOM,A1,11,accepted,wikt-p0-1500-1-1|wikt-p0-1500-1-3,Jinyan Shao,2026-08-02,保留木材与树林
1641,bowling,NOM,A2,2,accepted,wikt-p0-1641-1-1|wikt-p0-1641-1-2,Jinyan Shao,2026-08-02,保留运动与场馆
1828,cacher,VER,A1,5,accepted,wikt-p0-1828-1-1|wikt-p0-1828-1-4,Jinyan Shao,2026-08-02,保留藏起与隐瞒
2389,chômage,NOM,A1,4,accepted,wikt-p0-2389-1-2,Jinyan Shao,2026-08-02,保留停止工作或失业状态
2474,classe,NOM,A1,22,accepted,wikt-p0-2474-1-16|wikt-p0-2474-1-18|wikt-p0-2474-1-19,Jinyan Shao,2026-08-02,保留学校年级班级与教室
2497,climat,NOM,A1,3,accepted,wikt-p0-2497-1-1,Jinyan Shao,2026-08-02,保留气候核心义
2604,collectionneur,NOM,A2,1,accepted,wikt-p0-2604-1-1,Jinyan Shao,2026-08-02,唯一且自足的核心义
2860,conduire,VER,A1,11,accepted,wikt-p0-2860-1-1|wikt-p0-2860-1-2,Jinyan Shao,2026-08-02,保留带领与驾驶
